Area Name-Legal/Statistical Area Description,Qualifying Name,Area (Land),Area (Water),Summary Level,Geographic Component,Region,Division,FIPS,State (FIPS),County,Total Population,Total Population_1,Population Density (per sq. mile),Area (Land)_1,Total Population_2,Total Population: Male,Total Population: Female,% Total Population: Male,% Total Population: Female,Total Population_3,Total Population: Under 5 years,Total Population: 5 to 9 years,Total Population: 10 to 14 years,Total Population: 15 to 17 years,Total Population: 18 to 24 years,Total Population: 25 to 34 years,Total Population: 35 to 44 years,Total Population: 45 to 54 years,Total Population: 55 to 64 years,Total Population: 65 and 74 years,Total Population: 75 to 84 years,Total Population: 85 years and over,% Total Population: Under 5 years,% Total Population: 5 to 9 years,% Total Population: 10 to 14 years,% Total Population: 15 to 17 years,% Total Population: 18 to 24 years,% Total Population: 25 to 34 years,% Total Population: 35 to 44 years,% Total Population: 45 to 54 years,% Total Population: 55 to 64 years,% Total Population: 65 and 74 years,% Total Population: 75 to 84 years,% Total Population: 85 years and over,Total population,Total population: White alone,Total population: Black or African American alone,Total population: American Indian and Alaska Native alone,Total population: Asian alone,Total population: Native Hawaiian and Other Pacific Islander alone,Total population: Some Other Race alone,Total population: Two or More Races,% Total population: White alone,% Total population: Black or African American alone,% Total population: American Indian and Alaska Native alone,% Total population: Asian alone,% Total population: Native Hawaiian and Other Pacific Islander alone,% Total population: Some Other Race alone,% Total population: Two or More Races
Linn County,"Linn County, Oregon",5931407318,48773626,050,00,4,9,41043,41,043,116672,116672,50.94559,2290.12928245227,116672,57578,59094,49.35,50.65,116672,7680,7671,8078,4744,9891,14341,14148,16347,15781,9948,5583,2460,6.58,6.57,6.92,4.07,8.48,12.29,12.13,14.01,13.53,8.53,4.79,2.11,116672,105669,534,1488,1111,162,3888,3820,90.57,0.46,1.28,0.95,0.14,3.33,3.27
Malheur County,"Malheur County, Oregon",25608588996,109215531,050,00,4,9,41045,41,045,31313,31313,3.166918,9887.53203180864,31313,16926,14387,54.05,45.95,31313,2311,2202,2177,1314,3083,4146,3815,3999,3572,2490,1477,727,7.38,7.03,6.95,4.2,9.85,13.24,12.18,12.77,11.41,7.95,4.72,2.32,31313,24272,370,364,527,30,4849,901,77.51,1.18,1.16,1.68,0.1,15.49,2.88
Marion County,"Marion County, Oregon",3062209653,26362209,050,00,4,9,41047,41,047,315335,315335,266.7074,1182.32576212708,315335,157117,158218,49.83,50.17,315335,23580,22951,22865,13985,30836,42994,39503,41151,36921,21380,12949,6220,7.48,7.28,7.25,4.43,9.78,13.63,12.53,13.05,11.71,6.78,4.11,1.97,315335,246656,3371,4959,5995,2329,39819,12206,78.22,1.07,1.57,1.9,0.74,12.63,3.87
Morrow County,"Morrow County, Oregon",5261843781,43778396,050,00,4,9,41049,41,049,11173,11173,5.499581,2031.60940050687,11173,5749,5424,51.45,48.55,11173,794,853,963,580,889,1278,1392,1557,1446,847,435,139,7.11,7.63,8.62,5.19,7.96,11.44,12.46,13.94,12.94,7.58,3.89,1.24,11173,8680,55,139,104,14,1892,289,77.69,0.49,1.24,0.93,0.13,16.93,2.59
Multnomah County,"Multnomah County, Oregon",1117054236,88853180,050,00,4,9,41051,41,051,735334,735334,1704.936,431.297059291394,735334,363645,371689,49.45,50.55,735334,46298,42050,39077,23258,71594,136118,112550,99199,87767,41016,23865,12542,6.3,5.72,5.31,3.16,9.74,18.51,15.31,13.49,11.94,5.58,3.25,1.71,735334,562421,41401,7825,47950,4029,37865,33843,76.49,5.63,1.06,6.52,0.55,5.15,4.6
Polk County,"Polk County, Oregon",1918629058,8099319,050,00,4,9,41053,41,053,75403,75403,101.7877,740.786876232631,75403,36689,38714,48.66,51.34,75403,4887,4907,5322,3217,8850,8795,8723,9777,9773,5879,3635,1638,6.48,6.51,7.06,4.27,11.74,11.66,11.57,12.97,12.96,7.8,4.82,2.17,75403,64808,424,1616,1435,210,4041,2869,85.95,0.56,2.14,1.9,0.28,5.36,3.8
Sherman County,"Sherman County, Oregon",2133357976,19403364,050,00,4,9,41055,41,055,1765,1765,2.142786,823.694145301059,1765,896,869,50.76,49.24,1765,93,94,99,63,112,177,163,315,265,203,136,45,5.27,5.33,5.61,3.57,6.35,10.03,9.24,17.85,15.01,11.5,7.71,2.55,1765,1648,4,29,3,1,48,32,93.37,0.23,1.64,0.17,0.06,2.72,1.81
Tillamook County,"Tillamook County, Oregon",2855668955,596172498,050,00,4,9,41057,41,057,25250,25250,22.90083,1102.58000886491,25250,12740,12510,50.46,49.54,25250,1361,1355,1363,926,1663,2480,2701,3689,4439,3044,1691,538,5.39,5.37,5.4,3.67,6.59,9.82,10.7,14.61,17.58,12.06,6.7,2.13,25250,23102,85,260,227,59,904,613,91.49,0.34,1.03,0.9,0.23,3.58,2.43
Umatilla County,"Umatilla County, Oregon",8328130471,41173770,050,00,4,9,41059,41,059,75889,75889,23.60093,3215.50932282312,75889,39528,36361,52.09,47.91,75889,5645,5599,5554,3402,7050,10024,9634,10148,9176,5246,3086,1325,7.44,7.38,7.32,4.48,9.29,13.21,12.69,13.37,12.09,6.91,4.07,1.75,75889,59995,638,2662,664,101,9485,2344,79.06,0.84,3.51,0.87,0.13,12.5,3.09
Union County,"Union County, Oregon",5274784008,4995881,050,00,4,9,41061,41,061,25748,25748,12.6426,2036.60567384868,25748,12678,13070,49.24,50.76,25748,1630,1619,1540,1008,2849,2963,2580,3498,3753,2261,1372,675,6.33,6.29,5.98,3.91,11.06,11.51,10.02,13.59,14.58,8.78,5.33,2.62,25748,23968,132,289,209,227,333,590,93.09,0.51,1.12,0.81,0.88,1.29,2.29
Wallowa County,"Wallowa County, Oregon",8148590560,14199323,050,00,4,9,41063,41,063,7008,7008,2.227457,3146.18855068054,7008,3439,3569,49.07,50.93,7008,371,384,354,210,381,638,622,1090,1332,882,515,229,5.29,5.48,5.05,3,5.44,9.1,8.88,15.55,19.01,12.59,7.35,3.27,7008,6731,26,45,24,7,37,138,96.05,0.37,0.64,0.34,0.1,0.53,1.97
Wasco County,"Wasco County, Oregon",6168106312,35946723,050,00,4,9,41065,41,065,25213,25213,10.58694,2381.51933368031,25213,12506,12707,49.6,50.4,25213,1633,1589,1598,1028,2004,2867,2795,3493,3756,2264,1399,787,6.48,6.3,6.34,4.08,7.95,11.37,11.09,13.85,14.9,8.98,5.55,3.12,25213,21700,106,1117,192,145,1311,642,86.07,0.42,4.43,0.76,0.58,5.2,2.55
Washington County,"Washington County, Oregon",1875746999,5672547,050,00,4,9,41067,41,067,529710,529710,731.4113,724.229974810694,529710,260524,269186,49.18,50.82,529710,38248,38296,37286,22008,43800,83025,81070,74602,58266,28725,16069,8315,7.22,7.23,7.04,4.15,8.27,15.67,15.3,14.08,11,5.42,3.03,1.57,529710,405642,9616,3937,45755,2433,39797,22530,76.58,1.82,0.74,8.64,0.46,7.51,4.25
Wheeler County,"Wheeler County, Oregon",4441179416,1242192,050,00,4,9,41069,41,069,1441,1441,0.8403562,1714.74912161755,1441,718,723,49.83,50.17,1441,69,59,78,53,69,121,118,200,254,238,138,44,4.79,4.09,5.41,3.68,4.79,8.4,8.19,13.88,17.63,16.52,9.58,3.05,1441,1332,0,18,8,2,37,44,92.44,0,1.25,0.56,0.14,2.57,3.05
Yamhill County,"Yamhill County, Oregon",1854068926,6429807,050,00,4,9,41071,41,071,99193,99193,138.5648,715.86002097307,99193,49787,49406,50.19,49.81,99193,6449,6808,7149,4423,10296,12227,12789,13810,11976,6957,4219,2090,6.5,6.86,7.21,4.46,10.38,12.33,12.89,13.92,12.07,7.01,4.25,2.11,99193,84758,872,1520,1474,172,7137,3260,85.45,0.88,1.53,1.49,0.17,7.2,3.29
